,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dominik Szoboszlai,huHUN,"MF,DF",24-361,8,8,720,8,1,0,1,1,0,0,2,0,1,1,1.1,2.2,16,53,35,0.12,0,0.12,0.12,0.12,0.13,0.14,0.27,0.13,0.27,Matches
Virgil van Dijk,nlNED,DF,34-105,8,8,720,8,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,12,52,6,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Mohamed Salah,egEGY,FW,33-128,8,8,713,7.9,2,2,4,1,1,1,0,0,2.4,1.6,1.6,3.2,25,26,84,0.25,0.25,0.5,0.13,0.38,0.3,0.2,0.5,0.2,0.4,Matches
Ibrahima Konaté,frFRA,DF,26-149,8,8,652,7.2,0,0,0,0,0,0,2,0,0.6,0.6,0.5,1.1,11,34,0,0,0,0,0,0,0.09,0.07,0.16,0.09,0.16,Matches
Milos Kerkez,huHUN,DF,21-348,8,8,600,6.7,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,12,32,31,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
Cody Gakpo,nlNED,"FW,MF",26-167,8,7,644,7.2,3,2,5,3,0,0,0,0,2.7,2.7,2.4,5.1,31,25,75,0.42,0.28,0.7,0.42,0.7,0.38,0.34,0.72,0.38,0.72,Matches
Ryan Gravenberch,nlNED,"MF,DF",23-158,7,7,601,6.7,2,1,3,2,0,0,2,0,0.4,0.4,0.6,1,18,35,15,0.3,0.15,0.45,0.3,0.45,0.06,0.08,0.15,0.06,0.15,Matches
Alexis Mac Allister,arARG,MF,26-301,7,7,446,5,0,1,1,0,0,0,0,0,0.4,0.4,1,1.3,12,17,13,0,0.2,0.2,0,0.2,0.07,0.2,0.27,0.07,0.27,Matches
Alisson,brBRA,GK,33-019,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,Matches
Florian Wirtz,deGER,"MF,FW",22-171,8,5,511,5.7,0,0,0,0,0,0,1,0,1,1,1,2,17,38,38,0,0,0,0,0,0.18,0.17,0.35,0.18,0.35,Matches
Hugo Ekitike,frFRA,FW,23-123,7,5,411,4.6,3,1,4,3,0,0,0,0,2,2,0.3,2.3,8,9,23,0.66,0.22,0.88,0.66,0.88,0.44,0.06,0.49,0.44,0.49,Matches
Conor Bradley,nirNIR,DF,22-104,6,4,297,3.3,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,13,14,16,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
Alexander Isak,seSWE,FW,26-030,4,3,251,2.8,0,1,1,0,0,0,0,0,0.9,0.9,0.5,1.5,1,7,11,0,0.36,0.36,0,0.36,0.34,0.2,0.54,0.34,0.54,Matches
Giorgi Mamardashvili,geGEO,GK,25-022,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Curtis Jones,engENG,MF,24-264,7,1,258,2.9,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,10,36,10,0,0,0,0,0,0.1,0.13,0.23,0.1,0.23,Matches
Jeremie Frimpong,nlNED,"DF,MF",24-315,4,1,86,1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,3,10,0,0,0,0,0,0.08,0.31,0.39,0.08,0.39,Matches
Andrew Robertson,sctSCO,DF,31-224,3,0,120,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,6,10,13,0,0,0,0,0,0.1,0.25,0.34,0.1,0.34,Matches
Federico Chiesa,itITA,"FW,MF",27-361,6,0,87,1,2,1,3,2,0,0,1,0,0.8,0.8,0.9,1.7,3,4,10,2.07,1.03,3.1,2.07,3.1,0.81,0.96,1.77,0.81,1.77,Matches
Wataru Endo,jpJPN,"MF,DF",32-254,4,0,39,0.4,0,1,1,0,0,0,1,0,0,0,0.1,0.1,2,1,0,0,2.31,2.31,0,2.31,0,0.25,0.25,0,0.25,Matches
Joe Gomez,engENG,DF,28-151,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Rio Ngumoha,engENG,"FW,MF",17-053,3,0,12,0.1,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.4,4,0,7,7.5,0,7.5,7.5,7.5,2.66,0.53,3.19,2.66,3.19,Matches
Harvey Elliott,engENG,"MF,FW",22-200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Giovanni Leoni,itITA,DF,18-304,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Trey Nyoni,engENG,MF,18-113,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Freddie Woodman,engENG,GK,28-231,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
